category,sse,osr2,accuracy,f1_score
All variables,411.4,-0.264361311,0.33945946,0.252786014
Sociodemographic,326,0.00135674,0.301621622,0.092594373
Trip context,456.8,-0.392246217,0.321081081,0.199741827
Perception,331.6,-0.014312661,0.394594595,0.239624168
Personal trip,330.8,-0.012795946,0.301621622,0.094254945
Time context,326,0.00135674,0.301621622,0.092594373
