0.09837838,0.02378378,0.07459459,0.02486486,0.01837838
0.00216216,0.00108108,0.00972973,0.00432432,0.
0.10162162,0.05297297,0.15567568,0.12324324,0.06054054
0.02486486,0.0172973,0.04648649,0.07783784,0.02594595
0.00540541,0.00432432,0.01513514,0.01405405,0.0172973
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.23243243,0.09945946,0.30162162,0.24432432,0.12216216
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.04972973,0.01837838,0.05297297,0.02918919,0.02162162
0.,0.,0.,0.,0.
0.15675676,0.05945946,0.21621622,0.16,0.05837838
0.02594595,0.02162162,0.03243243,0.05513514,0.04216216
0.,0.,0.,0.,0.
0.12540541,0.01945946,0.04,0.02594595,0.01081081
0.,0.,0.,0.,0.
0.10702703,0.08,0.26162162,0.21837838,0.11135135
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.05945946,0.02162162,0.06162162,0.02918919,0.01837838
0.,0.,0.00216216,0.00108108,0.00108108
0.14162162,0.05189189,0.19027027,0.13297297,0.07567568
0.03135135,0.02594595,0.04756757,0.08108108,0.02702703
0.,0.,0.,0.,0.
0.03027027,0.01405405,0.04108108,0.02486486,0.01297297
0.,0.,0.,0.,0.
0.15783784,0.06486486,0.19567568,0.1427027,0.05945946
0.03135135,0.01621622,0.05297297,0.07243243,0.03891892
0.01297297,0.00432432,0.01189189,0.00432432,0.01081081
