0.00108108,0.,0.,0.00108108,0.
0.12324324,0.02810811,0.10810811,0.03783784,0.01081081
0.09297297,0.06702703,0.1772973,0.17081081,0.07351351
0.01513514,0.00432432,0.01621622,0.03459459,0.03783784
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.23243243,0.09945946,0.30162162,0.24432432,0.12216216
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.0172973,0.00864865,0.04432432,0.01513514,0.00432432
0.21513514,0.09081081,0.2572973,0.22918919,0.11783784
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.13081081,0.0227027,0.04216216,0.02702703,0.01189189
0.09189189,0.07459459,0.24648649,0.20864865,0.08324324
0.00972973,0.00216216,0.01297297,0.00864865,0.02702703
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.03783784,0.01513514,0.06486486,0.01621622,0.00648649
0.19459459,0.08432432,0.23459459,0.2227027,0.11567568
0.,0.,0.00216216,0.00540541,0.
0.,0.,0.,0.,0.
0.,0.,0.,0.,0.
0.03783784,0.01297297,0.03783784,0.01297297,0.00540541
0.18810811,0.08432432,0.25837838,0.22594595,0.11351351
0.00648649,0.00216216,0.00540541,0.00540541,0.00324324
0.,0.,0.,0.,0.
